"file","ULML","VLML","TLML","PRECTOT","SPEED"
"20140101.nc4.nc4","1.22961884612838","1.66408139963945","272.229446411133","1.25110118561385e-09","4.3340103328228"
"20140102.nc4.nc4","-4.21642021338145","0.412552657226721","272.735927581787","4.69933887938071e-05","4.55511506398519"
"20140103.nc4.nc4","4.32927176853021","-9.91629029313723","265.202068328857","8.44215593502895e-05","11.3421996831894"
"20140104.nc4.nc4","0.703783243894577","3.69230867425601","265.782932281494","1.11165213091191e-10","5.28454163173835"
"20140105.nc4.nc4","-0.193910653392474","4.97837417821089","271.286268870036","7.85719298731872e-05","6.09457289179166"
"20140106.nc4.nc4","6.33390882859627","2.13456542789936","275.251862843831","0.000122411965368959","11.0502653121948"
"20140107.nc4.nc4","11.0662809809049","-3.69284677505493","257.690249125163","1.01208901999901e-07","11.7165789008141"
"20140108.nc4.nc4","3.42820875346661","0.518312702576319","262.93168258667","4.90106338262612e-11","4.08789694309235"
"20140109.nc4.nc4","-1.2678435643514","0.442014167706172","269.750233968099","1.81384269337554e-06","3.68115466833115"
"20140110.nc4.nc4","-3.5160199329257","2.08824902772903","271.701002756755","3.58272650210638e-05","4.40005082885424"
"20140111.nc4.nc4","0.966592669487","7.40942315260569","278.002248128255","0.000408306174601118","8.53343252340952"
"20140112.nc4.nc4","8.33643595377604","-2.67826723928253","277.363152821859","6.64504947659831e-07","9.21436887979507"
"20140113.nc4.nc4","0.609316596140464","5.17495585232973","276.971204121908","5.62651338038766e-07","5.90849101543427"
"20140114.nc4.nc4","2.9808232858777","4.62076414749026","279.691994984945","0.00011170600926802","7.46657259265582"
"20140115.nc4.nc4","2.70168849825859","0.876692788054546","276.262145996094","2.83875539726826e-06","4.76041380564372"
"20140116.nc4.nc4","3.23870912194252","-4.03070936352015","272.849057515462","1.59068372305171e-05","5.81659678618113"
"20140117.nc4.nc4","-0.15561582458516","4.1132337252299","273.539813995361","2.01839020589715e-07","4.48843356470267"
