"","xmin","xmax","ymin","ymax","Name"
"xmin46",-76.6125697287236,-76.6097553829498,39.3517154931561,39.3543490049528,"York-Homeland"
"xmin47",-76.5907571519024,-76.5848357466329,39.29406792084,39.2987157308115,"CARE"
"xmin48",-76.6871074565388,-76.6799724993117,39.3203116671926,39.3258265506757,"Concerned Citizens of Forest Park"
"xmin49",-76.6477912548979,-76.6239041082334,39.2655388973977,39.2805494856038,"Carroll - Camden Industrial Area"
"xmin50",-76.600743665118,-76.5959230314842,39.2788631690881,39.2815557010004,"Harbor Point"
"xmin51",-76.6070846075381,-76.6012087393891,39.2740147792293,39.2815482381865,"Key Highway"
"xmin52",-76.6040371161457,-76.5980983084395,39.2820737573832,39.2853602530145,"Harbor East"
"xmin53",-76.7113887414255,-76.6997817468194,39.3560898613794,39.3719127712762,"Fallstaff"
"xmin54",-76.6175084092763,-76.6114908558482,39.266671198814,39.2748172316602,"South Baltimore"
"xmin55",-76.6135370502242,-76.6094014880382,39.3233518621908,39.3284842820821,"Abell"
"xmin56",-76.689400855095,-76.6724967737683,39.2841227687327,39.2940466810061,"Allendale"
"xmin57",-76.5747508234168,-76.5615818541835,39.3289030604159,39.3390232312756,"Arcadia"
"xmin58",-76.6886059790655,-76.6758492051049,39.3441783654676,39.3524657448216,"Arlington"
"xmin59",-76.5615303194517,-76.5428754161636,39.3009461683067,39.3156918043641,"Armistead Gardens"
"xmin60",-76.6787950549227,-76.6641326438983,39.3221841910947,39.3366119809807,"Ashburton"
"xmin61",-76.5696486161349,-76.5626510077305,39.2901849308406,39.2970564842289,"Baltimore Highlands"
"xmin62",-76.5820163639537,-76.5692564795294,39.2899365721418,39.2948776728406,"Patterson Park Neighborhood"
"xmin63",-76.6153845074141,-76.6094502516442,39.311219375017,39.3181176990944,"Barclay"
"xmin64",-76.6290582577892,-76.6261164497952,39.2830761906901,39.2871461270065,"Barre Circle"
"xmin65",-76.626180403119,-76.6173490843864,39.3660363724149,39.3720008629366,"Bellona-Gittings"
"xmin66",-76.5840372786632,-76.572953838441,39.3047399609195,39.3143157165,"Berea"
"xmin67",-76.6094709684755,-76.5978795701665,39.3181176990944,39.3283257217201,"Better Waverly"
"xmin68",-76.5732320995787,-76.565094345944,39.3357824419398,39.3428011391605,"Beverly Hills"
"xmin69",-76.5854868341626,-76.5728147831555,39.3022881395297,39.3051188292291,"Biddle Street"
"xmin70",-76.6276590313015,-76.6228490844945,39.3479815052147,39.3538443148026,"Blythewood"
"xmin71",-76.6340352646712,-76.6201446652264,39.303164203175,39.3109659295026,"Bolton Hill"
"xmin72",-76.6537757132814,-76.646845138135,39.2856509456254,39.2881565580911,"Boyd-Booth"
"xmin73",-76.660866360479,-76.6477157664838,39.2975913264686,39.3052208882053,"Bridgeview/Greenlawn"
"xmin74",-76.5949939725887,-76.5826622667423,39.304282455361,39.3126515153875,"Broadway East"
"xmin75",-76.5436215591195,-76.5311566782771,39.2720935278378,39.2774344792156,"Broening Manor"
"xmin76",-76.6178292219175,-76.593402451576,39.2213465113855,39.2408937396718,"Brooklyn"
"xmin77",-76.6646889182084,-76.6557893178394,39.3151954023188,39.3221841910947,"Parkway"
"xmin78",-76.5893047478094,-76.5845550534016,39.2894099075325,39.2942985377754,"Butchers Hill"
"xmin79",-76.684243064903,-76.6754628772304,39.3263534398598,39.335584232252,"Callaway-Garrison"
"xmin80",-76.6031607581631,-76.5957449815058,39.3539704056422,39.3606079028197,"Cameron Village"
"xmin81",-76.5870508634231,-76.5665408572636,39.2763090355232,39.286609338215,"Canton"
"xmin82",-76.655028673479,-76.6367446293128,39.2711489081511,39.2816938725567,"Carroll Park"
"xmin83",-76.6727535118995,-76.659018933139,39.2796200194458,39.2941819884852,"Carroll-South Hilton"
"xmin84",-76.6541429978466,-76.6446788891041,39.2777304163093,39.2873706105924,"Carrollton Ridge"
"xmin85",-76.6183388158715,-76.6097663145006,39.3669387525264,39.372001122219,"Cedarcroft"
"xmin86",-76.5439792524841,-76.5296969862724,39.3414765570088,39.3556195579114,"Cedmont"
"xmin87",-76.5374807152582,-76.5297131928341,39.3173251709343,39.3361594969358,"Cedonia"
"xmin88",-76.6935834992432,-76.6825083395734,39.3236153048687,39.330026873713,"Central Forest Park"
"xmin89",-76.6801813969993,-76.6616661998302,39.3326311679201,39.3523074857305,"Central Park Heights"
"xmin90",-76.62179928411,-76.6134450288148,39.3060903112524,39.3142853754113,"Charles North"
"xmin91",-76.6444207253473,-76.614881283452,39.2374922422054,39.2607002601687,"Cherry Hill"
"xmin92",-76.695111635415,-76.6642935977523,39.3614376687444,39.3719879494556,"Cheswolde"
"xmin93",-76.6099469019392,-76.5984496815556,39.3598490632062,39.3657051874741,"Chinquapin Park"
"xmin94",-76.5676888965405,-76.5490898447031,39.3083909280026,39.3178783109102,"Orchard Ridge"
"xmin95",-76.5948234103949,-76.5745835928522,39.314235324205,39.327981146635,"Clifton Park"
"xmin96",-76.6604999928985,-76.646218274056,39.340775832483,39.3606094995977,"Coldspring"
"xmin97",-76.607017041479,-76.5844549180619,39.3166474156317,39.3283212395901,"Coldstream Homestead Montebello"
"xmin98",-76.6638588375124,-76.6496755446402,39.3032116787225,39.3096403647423,"Coppin Heights/Ash-Co-East"
"xmin99",-76.7112914185841,-76.6865389275273,39.3573520400663,39.3719726023348,"Cross Country"
"xmin100",-76.6502746538825,-76.6402705603393,39.3433722180101,39.3614257898423,"Cross Keys"
"xmin101",-76.5977294076528,-76.5860844118655,39.2132436043788,39.2337664624317,"Curtis Bay"
"xmin102",-76.6693703677868,-76.6588402017183,39.343873082553,39.3510367592351,"Cylburn"
"xmin103",-76.5978306945114,-76.5898470394939,39.3141364054061,39.3172295249115,"Darley Park"
"xmin104",-76.7112201335371,-76.7028819117125,39.3102748316833,39.3213723568345,"Dickeyville"
"xmin105",-76.6847354129728,-76.6738833616888,39.3350181403459,39.3412863345563,"Dolfield"
"xmin106",-76.6913493490112,-76.682349685781,39.3273808946472,39.3358683429436,"Dorchester"
"xmin107",-76.6238519761585,-76.6047553057633,39.2874568257312,39.2951384366215,"Downtown"
"xmin108",-76.6425043250674,-76.6326599208809,39.3051190153379,39.3103466228653,"Druid Heights"
"xmin109",-76.6575803023629,-76.6292543219806,39.3156267075762,39.3309670481707,"Druid Hill Park"
"xmin110",-76.6000741221395,-76.5894574132436,39.2925252910733,39.2985570193588,"Dunbar-Broadway"
"xmin111",-76.5387412797614,-76.5297994919334,39.2392006280003,39.2577343760609,"Dundalk Marine Terminal"
"xmin112",-76.6735751451726,-76.6642996470638,39.3275130053208,39.3349081495119,"East Arlington"
"xmin113",-76.6094997602202,-76.5949939725887,39.3113984209579,39.3183495439389,"East Baltimore Midway"
"xmin114",-76.6526957096457,-76.6478838488972,39.3050628276971,39.3098317452525,"Easterwood"
"xmin115",-76.6875556383168,-76.6797586642371,39.2935684383845,39.3029679520133,"Edmondson Village"
"xmin116",-76.6068142384462,-76.588390547682,39.3282962145394,39.3400620269428,"Ednor Gardens-Lakeside"
"xmin117",-76.576647413138,-76.5670612300425,39.2946263556747,39.299423568914,"Ellwood Park/Monument"
"xmin118",-76.6313301167043,-76.626383134512,39.3445639980507,39.3486653675837,"Evergreen"
"xmin119",-76.6595899471926,-76.6532798545766,39.2953827558255,39.2983598173731,"Evergreen Lawn"
"xmin120",-76.6110290651831,-76.5585746686142,39.2245112936406,39.2516047272522,"Fairfield Area"
"xmin121",-76.6852715413593,-76.672420997169,39.3058492440537,39.3119098636183,"Fairmount"
"xmin122",-76.6157620580258,-76.6062822136635,39.274688108446,39.2808697439168,"Federal Hill"
"xmin123",-76.6826513759432,-76.6714599662101,39.3202432207539,39.3273808946472,"Forest Park"
"xmin124",-76.5632147309522,-76.5297058344673,39.3139794570125,39.3434569038353,"Frankford"
"xmin125",-76.6471909484204,-76.6381147490101,39.2867975905474,39.293184494104,"Franklin Square"
"xmin126",-76.711200753108,-76.6863870454598,39.2993586552176,39.3125206789451,"Franklintown"
"xmin127",-76.6705385692829,-76.6648996049316,39.2941718353159,39.3013395344299,"Franklintown Road"
"xmin128",-76.6819292556159,-76.6764977291495,39.3139138344736,39.3222698194698,"Garwyn Oaks"
"xmin129",-76.5995070981313,-76.5941303482227,39.2981778059423,39.304282455361,"Gay Street"
"xmin130",-76.7051567360178,-76.6768911421388,39.3487871493191,39.3623405335667,"Glen"
"xmin131",-76.6002850281244,-76.5930098821962,39.3561865434765,39.3720003951594,"Glen Oaks"
"xmin132",-76.5615757059678,-76.5347399252619,39.3423492110688,39.3566181264257,"Hamilton"
"xmin133",-76.5406343534628,-76.5297669772041,39.2697023640205,39.28803103185,"Graceland Park"
"xmin134",-76.5587220547377,-76.5467016289904,39.28085374839,39.291808014891,"Greektown"
"xmin135",-76.6094644944173,-76.6037593156139,39.305857880517,39.3116979495519,"Greenmount Cemetery"
"xmin136",-76.6149488919262,-76.6084586046612,39.3058937283023,39.3114474844454,"Greenmount West"
"xmin137",-76.6651155869079,-76.6562348893256,39.3320467690067,39.3409545840939,"Greenspring"
"xmin138",-76.7099014553471,-76.6941590897847,39.3344323934742,39.3456447439393,"Grove Park"
"xmin139",-76.626383134512,-76.6094449900335,39.3309278193644,39.3454914259394,"Guilford"
